'Material Deprivation',Affordability,'Income Inequality','Community Environment Profile','Consumer Opportunity Profile','Economic Opportunity Profile','Population Churning',Education,'Job Participation','Employment Accessibility','Access to Care','Health Opportunity Index'
0.478641,0.352352,0.271255,0.483363,0.691309,0.184586,0.557252,0.865895,0.621,0.061837,0.447456,Bad
0.126942,0.276276,0.409177,0.415743,0.339729,0.25855,0.69084,0.64311,0.549,0.077017,0.328633,Bad
0.188401,0.111111,0.397706,0.445458,0.161213,0.30613,0.704835,0.672267,0.626,0.082814,0.503102,Bad
0.133221,0.177177,0.463293,0.455029,0.35548,0.284215,0.736641,0.623803,0.607,0.079511,0.498339,Bad
0.229645,0.072072,0.325641,0.386397,0.37261,0.226648,0.74173,0.642397,0.598,0.080564,0.328633,Bad
0.130582,0.28028,0.440756,0.502282,0.43766,0.268284,0.821883,0.663798,0.627,0.092049,0.464126,Bad
0.185402,0.656657,0.378947,0.384952,0.377672,0.249829,0.681934,0.615745,0.528,0.059267,0.140478,Bad
0.346915,0.38038,0.236977,0.399739,0.624114,0.171558,0.820611,0.733567,0.53,0.08269,0.338124,Bad
0.178987,0.466466,0.424291,0.575642,0.482337,0.340813,0.756997,0.618928,0.827,0.142603,0.424246,Bad
0.284329,0.083083,0.369906,0.443298,0.361439,0.248514,0.917303,0.611825,0.511,0.09268,0.502603,Bad
0.188677,0.172172,0.403374,0.444608,0.303133,0.277584,0.529262,0.689942,0.62,0.099703,0.338124,Bad
0.33313,0.345345,0.309177,0.535917,0.546855,0.26445,0.734097,0.71768,0.645,0.126552,0.462731,Bad
0.156968,0.325325,0.3861,0.520916,0.417147,0.306936,0.735369,0.616292,0.783,0.115886,0.428106,Bad
0.327759,0.419419,0.337787,0.439003,0.518445,0.233535,0.530534,0.744902,0.65,0.068474,0.339504,Bad
0.12986,0.323323,0.395682,0.45532,0.340259,0.300849,0.59542,0.509887,0.696,0.116032,0.509132,Bad
0.298412,0.578579,0.291633,0.445678,0.638545,0.138336,0.479644,0.743856,0.343,0.045495,0.488995,Bad
0.314297,0.113113,0.430229,0.48372,0.402851,0.306166,0.739186,0.661626,0.713,0.098415,0.466355,Bad
0.145533,0.255255,0.37166,0.44239,0.454614,0.243918,0.832061,0.652548,0.648,0.087041,0.348758,Bad
0.069047,0.423423,0.421592,0.515475,0.365428,0.357901,0.916031,0.488547,0.803,0.143354,0.468771,Bad
0.016606,0.827828,0.360324,0.516211,0.668734,0.166877,0.818066,0.596575,0.507,0.043607,0.502987,Bad
0.201041,0.274274,0.435628,0.459465,0.424871,0.274488,0.737913,0.602679,0.671,0.086138,0.435096,Bad
0.198998,0.433433,0.384211,0.510568,0.522453,0.288324,0.548346,0.713799,0.786,0.09478,0.466522,Bad
0.360904,0.396396,0.321457,0.550615,0.594152,0.265438,0.576336,0.761554,0.752,0.109617,0.453174,Bad
0.190372,0.104104,0.360459,0.448995,0.384707,0.244742,0.712468,0.632328,0.635,0.087529,0.503098,Bad
0.161679,0.403403,0.402294,0.57856,0.51175,0.30121,0.795165,0.6896,0.771,0.116338,0.46676,Bad
0.364231,0.512513,0.233198,0.561852,0.676771,0.21042,0.610687,0.791261,0.695,0.119197,0.502987,Bad
0.085685,0,0.305263,0.44931,0.251218,0.214953,0.564885,0.650867,0.572,0.072211,0.496763,Bad
0.409967,0.686687,0.446559,0.702474,0.811401,0.306217,0.643766,0.870149,0.788,0.130807,0.405343,Bad
0.194274,0.302302,0.346289,0.476452,0.428409,0.27773,0.666667,0.657007,0.651,0.123731,0.461492,Bad
0.101649,0.66967,0.31498,0.475376,0.556211,0.213931,0.596692,0.653233,0.627,0.07518,0.50137,Bad
0.446343,0.5996,0.27085,0.410474,0.779855,0.134119,0.633588,0.847199,0.43,0.047623,0.265907,Bad
0.25905,0.257257,0.374629,0.446583,0.48018,0.228048,0.913486,0.673509,0.54,0.06711,0.502603,Bad
0.268664,0.23023,0.332389,0.360803,0.504667,0.185078,0.751908,0.699194,0.566,0.031699,0.300424,Bad
0.465079,0.378378,0.360189,0.352367,0.605866,0.183761,0.661578,0.756889,0.448,0.035043,0.27321,Bad
0.339266,0.485485,0.351282,0.495289,0.605643,0.238366,0.597964,0.73399,0.597,0.08856,0.464126,Bad
0.170381,0.331331,0.380162,0.373935,0.433783,0.222443,0.882952,0.623619,0.668,0.047022,0.142463,Bad
0.15196,0.192192,0.469636,0.365564,0.238718,0.29286,0.935115,0.626565,0.522,0.061022,0.446022,Bad
0.310079,0.331331,0.238731,0.410705,0.546851,0.195618,0.660305,0.746282,0.55,0.075318,0.491175,Bad
0.198106,0.615616,0.466667,0.520192,0.549137,0.316641,0.826972,0.56986,0.762,0.068029,0.46676,Bad
0.332837,0.344344,0.413225,0.531941,0.494659,0.31615,0.454198,0.728318,0.765,0.135633,0.469324,Bad
0.148816,0.455455,0.466532,0.530727,0.509173,0.342769,0.762087,0.686676,0.838,0.115715,0.443888,Bad
