@relation 'HOI_cleanedUp-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,1-weka.filters.unsupervised.attribute.Remove-V-R1,4,8,13,15,17-19'

@attribute Rural~Urban numeric
@attribute Affordability numeric
@attribute 'Food Accessibility' numeric
@attribute 'Material Deprivation' numeric
@attribute 'Community Environment Profile' numeric
@attribute 'Economic Opportunity Profile' numeric
@attribute 'Wellness Disparity Profile' numeric
@attribute 'Health Opportunity Index' {Bad,Medium,Good}

@data
1,0.650651,0.933302,0.336439,0.627661,0.379721,0.381179,Bad
0,0.468468,0.942139,0.41224,0.283613,0.193035,0.268021,Bad
1,0.457457,0.933302,0.352491,0.499193,0.324237,0.385489,Bad
1,0.257257,0.830166,0.226968,0.375679,0.281803,0.395715,Bad
1,0.654655,0.999951,0.547192,0.458012,0.185793,0.328208,Bad
0,0.274274,0.604491,0.456783,0.292411,0.211883,0.502826,Bad
0,0.497497,0.916374,0.431445,0.279094,0.189207,0.150118,Bad
1,0.417417,0.592692,0.390905,0.351875,0.268676,0.430653,Bad
1,0.510511,0.933302,0.298161,0.535695,0.336023,0.364113,Bad
1,0.34034,0.494489,0.232458,0.391827,0.338447,0.466931,Bad
0,0.550551,0.996588,0.408042,0.416105,0.217757,0.262345,Bad
1,0.50951,0.933302,0.271848,0.449434,0.273097,0.375276,Bad
1,0.411411,0.727992,0.371742,0.528056,0.31276,0.473915,Bad
1,0.437437,0.989979,0.36824,0.382007,0.239237,0.358845,Bad
1,0.314314,0.492203,0.202996,0.386212,0.352658,0.367977,Bad
0,0.473473,0.942139,0.421404,0.305825,0.18793,0.208069,Bad
1,0.398398,0.701292,0.46137,0.422838,0.385375,0.227446,Bad
1,0.399399,0.951347,0.39133,0.355838,0.204999,0.329388,Bad
1,0.462462,0.942139,0.444948,0.328401,0.229945,0.249204,Bad
1,0.273273,0.933302,0.227613,0.411137,0.223907,0.55656,Bad
1,0.554555,0.921447,0.378601,0.359677,0.215013,0.23933,Bad
0,0.366366,0.942139,0.450434,0.280703,0.214858,0.24408,Bad
1,0.58959,0.938261,0.471059,0.422844,0.216203,0.201422,Bad
1,0.413413,0.933302,0.26643,0.441468,0.306018,0.39239,Bad
1,0.4004,0.683048,0.385562,0.286607,0.271883,0.175512,Bad
0,0.504505,0.931807,0.458319,0.288801,0.16792,0.302643,Bad
1,0.716717,0.933302,0.312342,0.529377,0.247462,0.324105,Bad
1,0.445445,0.933302,0.268096,0.443752,0.246521,0.457319,Bad
0,0.362362,0.980432,0.199299,0.372558,0.266738,0.353179,Bad
1,0.342342,0.99987,0.211319,0.419902,0.272409,0.451857,Bad
1,0.295295,0.933302,0.205543,0.38643,0.273947,0.37725,Bad
0,0.427427,0.957223,0.390069,0.360529,0.201331,0.347966,Bad
1,0.443443,0.941944,0.392894,0.371986,0.275326,0.253097,Bad
0,0.465465,0.942139,0.413495,0.321956,0.185053,0.27018,Bad
0,0.45045,0.999991,0.496162,0.23541,0.151273,0.256611,Bad
1,0.424424,0.933302,0.356021,0.516011,0.41245,0.250249,Bad
1,0.563564,0.923619,0.258812,0.419268,0.262807,0.360801,Bad
1,0.485485,0.942139,0.439248,0.320149,0.217078,0.209312,Bad
1,0.402402,0.977959,0.290974,0.382548,0.274443,0.319499,Bad
1,0.378378,0.945065,0.292916,0.447827,0.312902,0.385328,Bad
1,0.617618,0.933302,0.307254,0.508812,0.266499,0.514036,Bad
1,0.451451,0.912449,0.308271,0.432006,0.329807,0.287468,Bad
1,0.399399,0.942139,0.316009,0.306969,0.244138,0.243907,Bad
1,0.313313,0.933302,0.225329,0.40415,0.261922,0.445241,Bad
1,0.353353,0.558626,0.26496,0.420598,0.300488,0.601109,Bad
0,0.367367,0.998499,0.380835,0.325372,0.127703,0.55631,Bad
1,0.413413,0.799286,0.26534,0.30064,0.241038,0.317965,Bad
1,0.373373,0.933302,0.196137,0.431646,0.345766,0.308452,Bad
1,0.580581,0.783306,0.401194,0.316679,0.214311,0.287349,Bad
1,0.466466,0.95705,0.444701,0.326884,0.225857,0.355363,Bad
1,0.47047,0.942139,0.397126,0.306258,0.248115,0.124473,Bad
1,0.512513,0.981884,0.351547,0.336758,0.265674,0.111164,Bad
1,0.641642,0.942139,0.351698,0.366707,0.221131,0.225682,Bad
1,0.396396,0.996922,0.372932,0.338912,0.202167,0.406795,Bad
0,0.463463,0.997187,0.464316,0.297472,0.191965,0.254671,Bad
1,0.459459,0.821634,0.461289,0.363187,0.260812,0.249176,Bad
1,0.676677,0.933302,0.554852,0.563142,0.252924,0.376076,Bad
0,0.378378,0.941203,0.232281,0.362094,0.259645,0.373706,Bad
1,0.701702,0.933302,0.310697,0.546216,0.351753,0.296273,Bad
1,0.364364,0.910878,0.29136,0.41388,0.295606,0.366437,Bad
1,0.395395,0.773008,0.371017,0.275228,0.239458,0.259439,Bad
0,0.348348,0.997379,0.373767,0.307018,0.190041,0.33774,Bad
1,0.496496,0.931291,0.469903,0.382582,0.263199,0.308103,Bad
1,0.289289,0.964635,0.378282,0.25303,0.186637,0.353167,Bad
1,0.337337,0.943315,0.190817,0.444674,0.184478,0.68881,Bad
1,0.201201,0.933302,0.175776,0.395837,0.308672,0.458615,Bad
0,0.536537,0.879624,0.442114,0.268025,0.198827,0.273076,Bad
1,0.411411,0.87133,0.274637,0.374853,0.287697,0.268067,Bad
1,0.667668,0.933302,0.49376,0.555919,0.324034,0.458219,Bad
1,0.492492,0.933302,0.34703,0.45679,0.317899,0.355958,Bad
1,0.417417,0.550801,0.375711,0.404568,0.354584,0.356004,Bad
1,0.375375,0.936082,0.382249,0.347302,0.304373,0.133764,Bad
1,0.807808,0.933302,0.006096,0.42862,0.263043,0.366927,Bad
0,0.493493,0.997823,0.357198,0.30354,0.222229,0.173096,Bad
1,0.373373,0.90139,0.300185,0.267263,0.240461,0.251436,Bad
1,0.701702,0.998786,0.394859,0.423359,0.210839,0.454552,Bad
1,0.621622,0.933302,0.37408,0.587966,0.348554,0.419535,Bad
1,0.279279,0.697865,0.227127,0.378163,0.318479,0.438182,Bad
0,0.463463,0.942139,0.3728,0.262393,0.175481,0.345211,Bad
1,0.657658,0.933302,0.325456,0.553944,0.326297,0.260983,Bad
1,0.38038,0.946378,0.35759,0.330786,0.298541,0.102126,Bad
1,0.50951,0.933302,0.465227,0.4799,0.346553,0.251099,Bad
1,0.61962,0.998689,0.298152,0.450418,0.246702,0.29932,Bad
1,0.513514,0.685527,0.316332,0.379702,0.319976,0.387082,Bad
0,0.448448,0.942139,0.408796,0.312992,0.197574,0.393532,Bad
1,0.363363,0.804209,0.243311,0.342059,0.266409,0.391005,Bad
0,0.443443,0.942139,0.49289,0.260601,0.188256,0.240552,Bad
1,0.554555,0.895829,0.345121,0.411912,0.279148,0.260584,Bad
1,0.50951,0.690957,0.371937,0.301259,0.281376,0.189184,Bad
