@relation 'HOI_cleanedUp-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,1-weka.filters.unsupervised.attribute.Remove-V-R13,4,6,15,9,16-18,10,7,19'

@attribute 'Material Deprivation' numeric
@attribute Affordability numeric
@attribute 'Population Churning' numeric
@attribute 'Community Environment Profile' numeric
@attribute 'Income Inequality' numeric
@attribute 'Consumer Opportunity Profile' numeric
@attribute 'Economic Opportunity Profile' numeric
@attribute 'Wellness Disparity Profile' numeric
@attribute 'Job Participation' numeric
@attribute Education numeric
@attribute 'Health Opportunity Index' {Bad,Medium,Good}

@data
0.256812,0.348348,0.629771,0.408586,0.480837,0.409948,0.287132,0.404732,0.545,0.611881,Bad
0.264376,0.335335,0.884224,0.411769,0.47139,0.347419,0.30859,0.30662,0.608,0.643204,Bad
0.445606,0.528529,0.773537,0.450919,0.334953,0.709075,0.223056,0.240798,0.676,0.821802,Bad
0.314881,0.516517,0.596692,0.479141,0.436032,0.593317,0.303484,0.256008,0.711,0.768972,Bad
0.269559,0.397397,0.740458,0.359901,0.389204,0.533281,0.234288,0.284725,0.497,0.725768,Bad
0.122399,0.208208,0.874046,0.406002,0.307287,0.281042,0.309695,0.38541,0.722,0.722269,Bad
0.444109,0.504505,0.601781,0.374933,0.393387,0.631315,0.212899,0.321559,0.406,0.748621,Bad
0.361077,0.358358,0.872774,0.304686,0.409312,0.509176,0.207234,0.289301,0.473,0.617582,Bad
0.297236,0.477477,0.673028,0.359834,0.434818,0.526598,0.244166,0.297737,0.503,0.650131,Bad
0.286601,0.684685,0.652672,0.605626,0.502969,0.725838,0.31888,0.327289,0.747,0.851803,Bad
0.281854,0.389389,0.941476,0.289267,0.394062,0.369468,0.238966,0.268793,0.521,0.643385,Bad
0.477011,0.334334,0.693384,0.317238,0.355601,0.476061,0.227773,0.285767,0.47,0.625267,Bad
0.466034,0.365365,0.440204,0.363553,0.539136,0.265139,0.3485,0.28037,0.559,0.728183,Bad
0.16814,0.367367,0.636132,0.487477,0.483401,0.428441,0.338796,0.3811,0.73,0.677898,Bad
0.196977,0.087087,0.856234,0.427432,0.373414,0.400434,0.262173,0.509777,0.598,0.676663,Bad
0.237603,0.4004,0.802799,0.433383,0.485155,0.425006,0.341771,0.267325,0.808,0.584811,Bad
0.376275,0.338338,0.880407,0.332615,0.334953,0.531708,0.196143,0.315582,0.503,0.665808,Bad
0.220454,0.393393,0.750636,0.444653,0.415385,0.464424,0.301282,0.377296,0.689,0.646703,Bad
0.376698,0.492492,0.55598,0.55917,0.533198,0.620063,0.355582,0.271703,0.821,0.816005,Bad
0.265132,0.467467,0.410941,0.458533,0.496626,0.410414,0.366771,0.34539,0.81,0.57579,Bad
0.13831,0.67968,0.689567,0.47529,0.355735,0.580923,0.257126,0.452115,0.623,0.670224,Bad
0.401097,0.409409,0.984733,0.244199,0.37058,0.528189,0.169884,0.214708,0.41,0.596066,Bad
0.22307,0.394394,0.594148,0.499068,0.48475,0.423514,0.361751,0.379387,0.746,0.699133,Bad
0.227635,0.309309,0.793893,0.337562,0.417409,0.312602,0.278393,0.355873,0.557,0.626205,Bad
0.192876,0.314314,0.877863,0.424904,0.41552,0.446849,0.299462,0.336176,0.7,0.657399,Bad
0.137254,0.677678,0.917303,0.345477,0.350067,0.355956,0.24586,0.414707,0.435,0.614509,Bad
0.32114,0.474474,0.622137,0.502865,0.513495,0.546973,0.345472,0.289059,0.752,0.720914,Bad
0.388368,0.176176,0.872774,0.309389,0.35803,0.473699,0.204369,0.379088,0.57,0.652388,Bad
0.171545,0.486486,0.749364,0.45041,0.431714,0.501401,0.280015,0.430661,0.6,0.662648,Bad
0.325738,0.336336,0.604326,0.45269,0.50135,0.459714,0.313884,0.356052,0.704,0.661692,Bad
0.41717,0.462462,0.889313,0.290776,0.332389,0.591463,0.177164,0.187152,0.476,0.646248,Bad
0.43012,0.717718,0.802799,0.63296,0.392982,0.862576,0.275045,0.376835,0.781,0.896725,Bad
0.285269,0.561562,0.46056,0.548912,0.417544,0.643452,0.275516,0.488609,0.745,0.8229,Bad
0.341379,0.673674,0.749364,0.644756,0.560729,0.804193,0.356151,0.44546,0.783,0.913264,Bad
0.049334,0.24024,0.938931,0.39644,0.483536,0.355933,0.237027,0.628248,0.398,0.611556,Bad
0.28667,0.263263,0.334606,0.45482,0.451957,0.356626,0.349934,0.384568,0.456,0.74716,Bad
0.372409,0.444444,0.722646,0.372226,0.419028,0.594388,0.223971,0.296578,0.543,0.710577,Bad
